"date_","continent","location","population","new_people_vaccinated_smoothed","cumsum_vac"
"2021-02-26","Asia","Afghanistan",39835428,1367,5468.0
"2021-02-27","Asia","Afghanistan",39835428,1367,6835.0
"2021-02-28","Asia","Afghanistan",39835428,1367,8202.0
"2021-03-01","Asia","Afghanistan",39835428,1580,9782.0
"2021-03-02","Asia","Afghanistan",39835428,1794,11576.0
"2021-03-03","Asia","Afghanistan",39835428,2008,13584.0
"2021-03-04","Asia","Afghanistan",39835428,2221,15805.0
"2021-03-05","Asia","Afghanistan",39835428,2435,18240.0
"2021-03-06","Asia","Afghanistan",39835428,2649,20889.0
"2021-03-07","Asia","Afghanistan",39835428,2862,23751.0
"2021-03-08","Asia","Afghanistan",39835428,2862,26613.0
"2021-03-09","Asia","Afghanistan",39835428,2862,29475.0
"2021-03-10","Asia","Afghanistan",39835428,2862,32337.0
"2021-03-11","Asia","Afghanistan",39835428,2862,35199.0
"2021-03-12","Asia","Afghanistan",39835428,2862,38061.0
"2021-03-13","Asia","Afghanistan",39835428,2862,40923.0
"2021-03-14","Asia","Afghanistan",39835428,2862,43785.0
"2021-03-15","Asia","Afghanistan",39835428,2862,46647.0
"2021-03-16","Asia","Afghanistan",39835428,2862,49509.0
"2021-03-17","Asia","Afghanistan",39835428,2882,52391.0
"2021-03-18","Asia","Afghanistan",39835428,2902,55293.0
"2021-03-19","Asia","Afghanistan",39835428,2921,58214.0
"2021-03-20","Asia","Afghanistan",39835428,2941,61155.0
"2021-03-21","Asia","Afghanistan",39835428,2961,64116.0
"2021-03-22","Asia","Afghanistan",39835428,2980,67096.0
"2021-03-23","Asia","Afghanistan",39835428,3000,70096.0
"2021-03-24","Asia","Afghanistan",39835428,3000,73096.0
"2021-03-25","Asia","Afghanistan",39835428,3000,76096.0
"2021-03-26","Asia","Afghanistan",39835428,3000,79096.0
"2021-03-27","Asia","Afghanistan",39835428,3000,82096.0
"2021-03-28","Asia","Afghanistan",39835428,3000,85096.0
"2021-03-29","Asia","Afghanistan",39835428,3000,88096.0
"2021-03-30","Asia","Afghanistan",39835428,3000,91096.0
"2021-03-31","Asia","Afghanistan",39835428,3000,94096.0
"2021-04-01","Asia","Afghanistan",39835428,3000,97096.0
"2021-04-02","Asia","Afghanistan",39835428,3000,100096.0
"2021-04-03","Asia","Afghanistan",39835428,3000,103096.0
"2021-04-04","Asia","Afghanistan",39835428,3000,106096.0
"2021-04-05","Asia","Afghanistan",39835428,3000,109096.0
"2021-04-06","Asia","Afghanistan",39835428,3000,112096.0
"2021-04-07","Asia","Afghanistan",39835428,3000,115096.0
"2021-04-08","Asia","Afghanistan",39835428,3714,118810.0
"2021-04-09","Asia","Afghanistan",39835428,4429,123239.0
"2021-04-10","Asia","Afghanistan",39835428,5143,128382.0
"2021-04-11","Asia","Afghanistan",39835428,5857,134239.0
"2021-04-12","Asia","Afghanistan",39835428,6571,140810.0
"2021-04-13","Asia","Afghanistan",39835428,7286,148096.0
"2021-04-14","Asia","Afghanistan",39835428,8000,156096.0
"2021-04-15","Asia","Afghanistan",39835428,8000,164096.0
"2021-04-16","Asia","Afghanistan",39835428,8000,172096.0
"2021-04-17","Asia","Afghanistan",39835428,8000,180096.0
"2021-04-18","Asia","Afghanistan",39835428,8000,188096.0
"2021-04-19","Asia","Afghanistan",39835428,8000,196096.0
"2021-04-20","Asia","Afghanistan",39835428,8000,204096.0
"2021-04-21","Asia","Afghanistan",39835428,8000,212096.0
"2021-04-22","Asia","Afghanistan",39835428,8000,220096.0
"2021-04-23","Asia","Afghanistan",39835428,8428,228524.0
"2021-04-24","Asia","Afghanistan",39835428,8855,237379.0
"2021-04-25","Asia","Afghanistan",39835428,9283,246662.0
"2021-04-26","Asia","Afghanistan",39835428,9711,256373.0
"2021-04-27","Asia","Afghanistan",39835428,10138,266511.0
"2021-04-28","Asia","Afghanistan",39835428,10566,277077.0
"2021-04-29","Asia","Afghanistan",39835428,10994,288071.0
"2021-04-30","Asia","Afghanistan",39835428,10994,299065.0
"2021-05-01","Asia","Afghanistan",39835428,10994,310059.0
"2021-05-02","Asia","Afghanistan",39835428,10994,321053.0
"2021-05-03","Asia","Afghanistan",39835428,10994,332047.0
"2021-05-04","Asia","Afghanistan",39835428,10994,343041.0
"2021-05-05","Asia","Afghanistan",39835428,10994,354035.0
"2021-05-06","Asia","Afghanistan",39835428,10994,365029.0
"2021-05-07","Asia","Afghanistan",39835428,10994,376023.0
"2021-05-08","Asia","Afghanistan",39835428,10994,387017.0
"2021-05-09","Asia","Afghanistan",39835428,10994,398011.0
"2021-05-10","Asia","Afghanistan",39835428,10994,409005.0
"2021-05-11","Asia","Afghanistan",39835428,10994,419999.0
"2021-05-12","Asia","Afghanistan",39835428,9764,429763.0
"2021-05-13","Asia","Afghanistan",39835428,8534,438297.0
"2021-05-14","Asia","Afghanistan",39835428,7304,445601.0
"2021-05-15","Asia","Afghanistan",39835428,6074,451675.0
"2021-05-16","Asia","Afghanistan",39835428,4844,456519.0
"2021-05-17","Asia","Afghanistan",39835428,3615,460134.0
"2021-05-18","Asia","Afghanistan",39835428,2385,462519.0
"2021-05-19","Asia","Afghanistan",39835428,2385,464904.0
"2021-05-20","Asia","Afghanistan",39835428,2385,467289.0
"2021-05-21","Asia","Afghanistan",39835428,2259,469548.0
"2021-05-22","Asia","Afghanistan",39835428,2134,471682.0
"2021-05-23","Asia","Afghanistan",39835428,2008,473690.0
"2021-05-24","Asia","Afghanistan",39835428,1883,475573.0
"2021-05-25","Asia","Afghanistan",39835428,1757,477330.0
"2021-05-26","Asia","Afghanistan",39835428,1631,478961.0
"2021-05-27","Asia","Afghanistan",39835428,1319,480280.0
"2021-05-28","Asia","Afghanistan",39835428,1135,481415.0
"2021-05-29","Asia","Afghanistan",39835428,951,482366.0
"2021-05-30","Asia","Afghanistan",39835428,766,483132.0
"2021-05-31","Asia","Afghanistan",39835428,621,483753.0
"2021-06-01","Asia","Afghanistan",39835428,476,484229.0
"2021-06-02","Asia","Afghanistan",39835428,331,484560.0
"2021-06-03","Asia","Afghanistan",39835428,318,484878.0
"2021-06-04","Asia","Afghanistan",39835428,320,485198.0
"2021-06-05","Asia","Afghanistan",39835428,322,485520.0
